Symbol,,Price~,Type,Strike,Expires,DTE,Bid x Size,Ask x Size,Trade,Size,Side,Premium,Volume,Open Int,IV,Delta,Code,*,Time
APLD,,13.485,Put,13,2025-08-01T16:30:00-05:00,1,0.22 x 53,0.24 x 131,0.22,300,bid,6600,8604,46,159.63%,-0.3150941471,AUTO,N/A,12:49:08 ET
APLD,,13.47,Call,14,2025-08-15T16:30:00-05:00,15,0.82 x 191,0.85 x 300,0.85,300,ask,25500,6235,5767,98.76%,0.4666067807,AUTO,N/A,11:07:32 ET
APLD,,13.47,Put,13,2025-09-19T16:30:00-05:00,50,1.36 x 255,1.45 x 164,1.38,239,mid,32900,660,995,84.22%,-0.3879064335,SLAN,N/A,11:06:25 ET
APLD,,13.47,Put,10,2025-09-19T16:30:00-05:00,50,0.30 x 643,0.35 x 10,0.32,200,mid,6400,806,4158,84.80%,-0.1307064014,AUTO,N/A,11:07:03 ET
APLD,,13.47,Call,13.5,2025-08-01T16:30:00-05:00,1,0.44 x 120,0.49 x 735,0.49,388,ask,19000,11321,4517,161.31%,0.5068888352,AUTO,N/A,11:07:35 ET
APLD,,13.455,Call,13.5,2025-08-01T16:30:00-05:00,1,0.42 x 4,0.47 x 1008,0.47,484,ask,22700,11963,4517,146.21%,0.498474795,AUTO,N/A,11:08:36 ET
APLD,,13.455,Call,15,2025-08-15T16:30:00-05:00,15,0.50 x 300,0.52 x 39,0.5,300,bid,15000,8039,19753,100.13%,0.3353006471,AUTO,N/A,11:11:16 ET
APLD,,13.45,Put,21,2026-01-16T16:30:00-06:00,169,8.85 x 291,8.95 x 457,8.95,205,ask,183400,223,4,93.45%,-0.651978867,AUTO,BuyToOpen,12:14:38 ET
APLD,,13.44,Call,11,2025-09-19T16:30:00-05:00,50,2.24 x 1625,2.60 x 5,2.5,208,mid,52000,954,4065,85.81%,0.7906128869,AUTO,N/A,09:31:10 ET
APLD,,13.44,Call,11,2025-08-29T16:30:00-05:00,29,2.09 x 245,2.40 x 325,2.1,180,mid,37800,439,1038,90.61%,0.8227003498,AUTO,N/A,09:31:09 ET
APLD,,13.44,Call,14,2025-08-01T16:30:00-05:00,1,0.40 x 11,0.49 x 863,0.49,285,ask,13900,3287,3657,253.39%,0.404917039,AUTO,N/A,09:34:47 ET
APLD,,13.44,Call,16,2025-08-15T16:30:00-05:00,15,0.35 x 800,0.44 x 155,0.35,400,bid,14000,410,3569,113.45%,0.2625582589,AUTO,N/A,09:33:23 ET
APLD,,13.44,Call,11,2025-08-08T16:30:00-05:00,8,2.18 x 56,2.20 x 180,2.2,180,ask,39600,1158,5876,86.96%,0.9482332961,AUTO,N/A,09:34:36 ET
APLD,,13.44,Call,17,2025-12-19T16:30:00-06:00,141,1.63 x 1918,1.90 x 90,1.9,180,ask,34200,180,249,94.79%,0.4699675076,AUTO,N/A,09:34:50 ET
APLD,,13.44,Call,15,2025-09-19T16:30:00-05:00,50,1.15 x 123,1.20 x 110,1.2,264,ask,31600,1685,37741,95.63%,0.4536591293,AUTO,N/A,09:34:36 ET
APLD,,13.44,Call,13.5,2025-08-01T16:30:00-05:00,1,0.39 x 3,0.50 x 1219,0.5,253,ask,12600,3022,4517,237.95%,0.510951407,AUTO,N/A,09:34:11 ET
